objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
pyschiana001,https://acervos.ims.com.br/index.php/Detail/objects/748623#,,,,,,,,,,,,,,,,Public domain,
pyschiana002,https://acervos.ims.com.br/index.php/Detail/objects/402829,,,,,,,,,,,,,,,,,
psychiana003,https://acervos.ims.com.br/index.php/Detail/objects/1571,,,,,,,,,,,,,,,,Public domain,
psychiana004,https://acervos.ims.com.br/index.php/Detail/objects/525089,,,,,,,,,,,,,,,,Instituto Moreira Salles,
pyschiana005,https://acervos.ims.com.br/index.php/Detail/objects/176958,,,,,,,,,,,,,,,,Instituto Moreira Salles,
